,Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration,Class_label,Start_date,End_date
70,3,3,2,1,1,2,3,98,77,1,2020-05-25,2020-08-10
71,1,2,1,3,1,1,2,273,84,1,2020-11-16,2021-02-08
72,4,3,4,2,1,2,4,322,70,0,2021-01-04,2021-03-15
73,4,2,1,3,3,1,4,350,91,1,2021-02-01,2021-05-03
74,3,2,2,4,1,1,3,70,14,1,2020-04-27,2020-05-11
75,3,3,2,3,1,1,3,406,91,1,2021-03-29,2021-06-28
76,1,2,2,3,1,3,2,427,49,2,2021-04-19,2021-06-07
77,3,2,3,3,2,1,2,392,63,1,2021-03-15,2021-05-17
78,4,1,2,4,1,2,1,182,42,1,2020-08-17,2020-09-28
79,4,3,1,3,1,1,4,147,49,1,2020-07-13,2020-08-31
80,4,1,4,3,1,4,4,322,112,1,2021-01-04,2021-04-26
81,3,3,1,4,2,2,3,441,70,1,2021-05-03,2021-07-12
82,3,4,3,2,1,1,4,322,42,1,2021-01-04,2021-02-15
83,2,1,1,4,3,2,4,133,119,1,2020-06-29,2020-10-26
84,3,3,4,3,2,1,3,63,98,1,2020-04-20,2020-07-27
85,4,2,1,3,1,2,4,161,77,1,2020-07-27,2020-10-12
86,3,2,3,1,2,3,3,140,49,1,2020-07-06,2020-08-24
87,2,2,2,2,1,1,3,112,28,2,2020-06-08,2020-07-06
88,2,1,2,2,1,2,3,196,112,1,2020-08-31,2020-12-21
89,4,1,4,2,2,2,1,273,14,1,2020-11-16,2020-11-30
90,4,2,2,3,2,3,3,231,112,1,2020-10-05,2021-01-25
91,1,2,3,2,2,2,3,273,63,2,2020-11-16,2021-01-18
92,4,2,2,3,1,2,2,91,7,2,2020-05-18,2020-05-25
93,4,1,1,1,2,2,4,315,91,1,2020-12-28,2021-03-29
94,2,1,2,3,2,3,3,357,7,1,2021-02-08,2021-02-15
95,4,1,2,3,2,1,3,350,70,1,2021-02-01,2021-04-12
96,3,2,3,4,3,2,2,98,147,1,2020-05-25,2020-10-19
97,3,3,4,4,3,2,3,308,77,1,2020-12-21,2021-03-08
98,3,3,2,1,3,3,2,413,28,1,2021-04-05,2021-05-03
99,4,2,3,3,2,4,3,336,91,2,2021-01-18,2021-04-19
