id,Name,CountryName,X,Y,Start time,End time,Duration,Class_label,N merged events,Temporal context start,Temporal context end,AND_6,AND_5,AND_4,AND_3,AND_2,AND_1,LMM_6,LMM_5,LMM_4,LMM_3,LMM_2,LMM_1,HM_6,HM_5,HM_4,HM_3,HM_2,HM_1,HMM_6,HMM_5,HMM_4,HMM_3,HMM_2,HMM_1,NM_6,NM_5,NM_4,NM_3,NM_2,NM_1,DM_6,DM_5,DM_4,DM_3,DM_2,DM_1,SH_6,SH_5,SH_4,SH_3,SH_2,SH_1,IM_6,IM_5,IM_4,IM_3,IM_2,IM_1,AND_Start,AND_End,AND_Duration,LMM_Start,LMM_End,LMM_Duration,HM_Start,HM_End,HM_Duration,HMM_Start,HMM_End,HMM_Duration,NM_Start,NM_End,NM_Duration,DM_Start,DM_End,DM_Duration,SH_Start,SH_End,SH_Duration,IM_Start,IM_End,IM_Duration
BA_low to medium morbidity_3_18-01-2021_14-02-2021,BA_low to medium morbidity_3_18-01-2021_14-02-2021,Bosnia and Herzegovina,18.416668,43.866665,18/01/2021,14/02/2021,28,low to medium morbidity,3,44024,18-01-2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,2,-6,-2,5,-6,-1,6,0,0,0,0,0,0,0,0,0
BA_low to medium morbidity_6_10-05-2021_27-06-2021,BA_low to medium morbidity_6_10-05-2021_27-06-2021,Bosnia and Herzegovina,18.416668,43.866665,44474,27/06/2021,49,low to medium morbidity,6,29-03-2021,44474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,-6,-1,6,0,0,0,0,0,0,0,0,0
BA_high morbidity_3_05-10-2020_01-11-2020,BA_high morbidity_3_05-10-2020_01-11-2020,Bosnia and Herzegovina,18.416668,43.866665,43961,43841,28,high morbidity,3,24-08-2020,43961,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
BA_high morbidity_2_04-01-2021_24-01-2021,BA_high morbidity_2_04-01-2021_24-01-2021,Bosnia and Herzegovina,18.416668,43.866665,44287,24/01/2021,21,high morbidity,2,23-11-2020,44287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,-6,-1,6,0,0,0,0,0,0,0,0,0
BA_high morbidity_3_08-02-2021_07-03-2021,BA_high morbidity_3_08-02-2021_07-03-2021,Bosnia and Herzegovina,18.416668,43.866665,44410,44380,28,high morbidity,3,28-12-2020,44410,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,3,-5,-3,3,-6,-5,2,-6,-1,6,0,0,0,0,0,0,0,0,0
BA_high morbidity and mortality_10_26-10-2020_10-01-2021,BA_high morbidity and mortality_10_26-10-2020_10-01-2021,Bosnia and Herzegovina,18.416668,43.866665,26/10/2020,44470,77,high morbidity and mortality,10,14-09-2020,26-10-2020,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-3,4,-3,-1,3,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
BA_high morbidity and mortality_10_01-03-2021_16-05-2021,BA_high morbidity and mortality_10_01-03-2021_16-05-2021,Bosnia and Herzegovina,18.416668,43.866665,44199,16/05/2021,77,high morbidity and mortality,10,18-01-2021,44199,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-3,4,-6,-1,4,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
BE_almost no disease_3_17-02-2020_15-03-2020,BE_almost no disease_3_17-02-2020_15-03-2020,Belgium,4.333333,50.833332,17/02/2020,15/03/2020,28,almost no disease,3,43983,17-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_almost no disease_2_22-06-2020_12-07-2020,BE_almost no disease_2_22-06-2020_12-07-2020,Belgium,4.333333,50.833332,22/06/2020,44172,21,almost no disease,2,44140,22-06-2020,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-6,-1,6,0,0,0,0,0,0,-2,-1,2,0,0,0,0,0,0,-6,-2,5
BE_low to medium morbidity_1_09-03-2020..22-03-2020,BE_low to medium morbidity_1_09-03-2020..22-03-2020,Belgium,4.333333,50.833332,44077,22/03/2020,14,low to medium morbidity,1,27-01-2020,44077,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,3,0,0,0,0,0,0,0,0,0,-3,-1,3,-1,-1,1,0,0,0,0,0,0
BE_low to medium morbidity_8_27-04-2020_28-06-2020,BE_low to medium morbidity_8_27-04-2020_28-06-2020,Belgium,4.333333,50.833332,27/04/2020,28/06/2020,63,low to medium morbidity,8,16-03-2020,27-04-2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-6,-6,1,-6,-5,2,-5,-1,5,0,0,0,-6,-5,2,-5,-1,5,0,0,0
BE_low to medium morbidity_9_06-07-2020_13-09-2020,BE_low to medium morbidity_9_06-07-2020_13-09-2020,Belgium,4.333333,50.833332,43989,13/09/2020,70,low to medium morbidity,9,25-05-2020,43989,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-2,-1,2,-6,-2,5,0,0,0,0,0,0,-4,-1,4,0,0,0,0,0,0,-6,-4,3
BE_low to medium morbidity_3_31-05-2021_27-06-2021,BE_low to medium morbidity_3_31-05-2021_27-06-2021,Belgium,4.333333,50.833332,31/05/2021,27/06/2021,28,low to medium morbidity,3,19-04-2021,31-05-2021,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,-6,-1,6,0,0,0,0,0,0,-6,-6,1
BE_high morbidity_1_16-03-2020..29-03-2020,BE_high morbidity_1_16-03-2020..29-03-2020,Belgium,4.333333,50.833332,16/03/2020,29/03/2020,14,high morbidity,1,43892,16-03-2020,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,4,-1,-1,1,0,0,0,0,0,0,-4,-2,3,-2,-1,2,0,0,0,0,0,0
BE_high morbidity_5_07-09-2020_18-10-2020,BE_high morbidity_5_07-09-2020_18-10-2020,Belgium,4.333333,50.833332,44021,18/10/2020,42,high morbidity,5,27-07-2020,44021,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
BE_high morbidity_24_14-12-2020_06-06-2021,BE_high morbidity_24_14-12-2020_06-06-2021,Belgium,4.333333,50.833332,14/12/2020,44353,175,high morbidity,24,43872,14-12-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,-6,-6,1,-6,-1,6,0,0,0
BE_high morbidity and mortality_5_23-03-2020_03-05-2020,BE_high morbidity and mortality_5_23-03-2020_03-05-2020,Belgium,4.333333,50.833332,23/03/2020,43895,42,high morbidity and mortality,5,44106,23-03-2020,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,-2,4,-2,-1,2,-1,-1,1,0,0,0,-5,-3,3,-3,-1,3,0,0,0,0,0,0
BE_high morbidity and mortality_9_12-10-2020_20-12-2020,BE_high morbidity and mortality_9_12-10-2020_20-12-2020,Belgium,4.333333,50.833332,44175,20/12/2020,70,high morbidity and mortality,9,31-08-2020,44175,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-5,2,-5,-1,5,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
BG_almost no disease_16_17-02-2020_14-06-2020,BG_almost no disease_16_17-02-2020_14-06-2020,Bulgaria,23.316668,42.683334,17/02/2020,14/06/2020,119,almost no disease,16,43983,17-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_low to medium morbidity_17_08-06-2020_11-10-2020,BG_low to medium morbidity_17_08-06-2020_11-10-2020,Bulgaria,23.316668,42.683334,44049,44145,126,low to medium morbidity,17,27-04-2020,44049,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0,-4,-1,4,0,0,0,0,0,0,-6,-4,3
BG_low to medium morbidity_2_11-01-2021_31-01-2021,BG_low to medium morbidity_2_11-01-2021_31-01-2021,Bulgaria,23.316668,42.683334,44501,31/01/2021,21,low to medium morbidity,2,30-11-2020,44501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-6,-1,6,-1,-1,1,-6,-6,1,-6,-2,5,-2,-1,2
BG_low to medium morbidity_6_10-05-2021_27-06-2021,BG_low to medium morbidity_6_10-05-2021_27-06-2021,Bulgaria,23.316668,42.683334,44474,27/06/2021,49,low to medium morbidity,6,29-03-2021,44474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,-6,-1,6,0,0,0,0,0,0,0,0,0
BG_high morbidity_4_05-10-2020_08-11-2020,BG_high morbidity_4_05-10-2020_08-11-2020,Bulgaria,23.316668,42.683334,43961,44054,35,high morbidity,4,24-08-2020,43961,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
BG_high morbidity_4_25-01-2021_28-02-2021,BG_high morbidity_4_25-01-2021_28-02-2021,Bulgaria,23.316668,42.683334,25/01/2021,28/02/2021,35,high morbidity,4,14-12-2020,25-01-2021,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,-2,-1,2,0,0,0,-6,-2,5,-3,-1,3,0,0,0,-6,-4,3,-4,-3,2
BG_high morbidity and mortality_10_02-11-2020_17-01-2021,BG_high morbidity and mortality_10_02-11-2020_17-01-2021,Bulgaria,23.316668,42.683334,43872,17/01/2021,77,high morbidity and mortality,10,21-09-2020,43872,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-4,3,-4,-1,4,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
BG_high morbidity and mortality_11_22-02-2021_16-05-2021,BG_high morbidity and mortality_11_22-02-2021_16-05-2021,Bulgaria,23.316668,42.683334,22/02/2021,16/05/2021,84,high morbidity and mortality,11,44501,22-02-2021,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-4,3,-4,-1,4,-6,-6,1,-6,-1,6,0,0,0,0,0,0,0,0,0
BH_almost no disease_4_17-02-2020_22-03-2020,BH_almost no disease_4_17-02-2020_22-03-2020,Bahrain,50.566666,26.233334,17/02/2020,22/03/2020,35,almost no disease,4,43983,17-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH_low to medium morbidity_6_16-03-2020_03-05-2020,BH_low to medium morbidity_6_16-03-2020_03-05-2020,Bahrain,50.566666,26.233334,16/03/2020,43895,49,low to medium morbidity,6,43892,16-03-2020,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,4,0,0,0,0,0,0,0,0,0,-4,-1,4,-1,-1,1,0,0,0,0,0,0
BH_low to medium morbidity_1_16-11-2020..29-11-2020,BH_low to medium morbidity_1_16-11-2020..29-11-2020,Bahrain,50.566666,26.233334,16/11/2020,29/11/2020,14,low to medium morbidity,1,43961,16-11-2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
BH_high morbidity_53_27-04-2020_16-05-2021,BH_high morbidity_53_27-04-2020_16-05-2021,Bahrain,50.566666,26.233334,27/04/2020,16/05/2021,385,high morbidity,53,16-03-2020,27-04-2020,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,-6,-6,1,-6,-1,6,0,0,0,0,0,0,0,0,0,-6,-5,2,-5,-1,5,0,0,0
BH_high morbidity_2_07-06-2021_27-06-2021,BH_high morbidity_2_07-06-2021_27-06-2021,Bahrain,50.566666,26.233334,44383,27/06/2021,21,high morbidity,2,26-04-2021,44383,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-4,3,-4,-1,4,-6,-1,6,0,0,0,0,0,0,0,0,0
BH_high morbidity and mortality_4_10-05-2021_13-06-2021,BH_high morbidity and mortality_4_10-05-2021_13-06-2021,Bahrain,50.566666,26.233334,44474,13/06/2021,35,high morbidity and mortality,4,29-03-2021,44474,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
BY_almost no disease_6_17-02-2020_05-04-2020,BY_almost no disease_6_17-02-2020_05-04-2020,Belarus,27.566668,53.9,17/02/2020,43955,49,almost no disease,6,43983,17-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY_low to medium morbidity_4_30-03-2020_03-05-2020,BY_low to medium morbidity_4_30-03-2020_03-05-2020,Belarus,27.566668,53.9,30/03/2020,43895,35,low to medium morbidity,4,17-02-2020,30-03-2020,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
BY_low to medium morbidity_20_01-06-2020_25-10-2020,BY_low to medium morbidity_20_01-06-2020_25-10-2020,Belarus,27.566668,53.9,43836,25/10/2020,147,low to medium morbidity,20,20-04-2020,43836,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-5,2,-5,-1,5,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
